items;java.util.ArrayList;java.util.LinkedList;java.util.Vector
0;0;0;0
10000;0;0;0
20000;0;0;0
30000;0;0;0
40000;1;0;1
50000;0;1;0
60000;1;0;1
70000;1;0;1
80000;1;1;1
90000;1;0;1
100000;0;1;2
110000;1;1;1
120000;1;1;2
130000;1;1;2
140000;1;1;2
150000;2;1;2
160000;1;2;2
170000;1;2;2
180000;2;2;2
190000;2;1;3
200000;2;2;3
210000;2;2;2
220000;2;2;3
230000;2;2;3
240000;2;2;3
250000;3;2;3
260000;3;2;3
270000;3;3;3
280000;3;2;3
290000;2;3;4
300000;3;3;3
310000;3;3;4
320000;3;3;4
330000;3;3;5
340000;3;4;4
350000;4;3;4
360000;3;3;5
370000;4;4;4
380000;5;3;5
390000;5;3;5
400000;4;4;21
410000;4;4;6
420000;4;4;6
430000;4;4;5
440000;4;4;5
450000;5;4;6
460000;4;5;6
470000;6;5;6
480000;6;4;7
490000;5;5;6
500000;5;5;6
510000;5;4;7
520000;5;5;7
530000;5;5;6
540000;5;5;7
550000;6;6;6
560000;6;6;8
570000;7;5;7
580000;9;6;7
590000;7;6;7
600000;8;8;8
610000;10;7;10
620000;9;6;8
630000;8;6;9
640000;8;6;8
650000;7;7;8
660000;7;6;9
670000;7;6;9
680000;7;7;9
690000;8;7;9
700000;7;7;9
710000;8;7;9
720000;7;7;9
730000;8;7;10
740000;7;7;11
750000;8;8;9
760000;8;7;10
770000;8;7;12
780000;8;8;10
790000;8;7;10
800000;8;8;10
810000;8;8;11
820000;9;8;11
830000;9;44;10
840000;10;9;11
850000;10;8;11
860000;10;8;11
870000;10;8;11
880000;10;8;12
890000;10;8;11
900000;10;9;11
910000;10;9;11
920000;11;8;12
930000;10;9;12
940000;10;9;12
950000;10;9;12
960000;11;9;11
970000;10;9;12
980000;11;10;12
990000;11;9;12
1000000;11;10;12
