items;java.util.ArrayList;java.util.LinkedList;java.util.Vector
0;0;0;0
10000;4;44;5
20000;20;290;19
30000;44;786;45
40000;81;1579;80
50000;126;2764;155
60000;183;2295;181
70000;255;6045;251
80000;327;7135;332
90000;423;7858;426
100000;527;7908;566
110000;648;9060;650
120000;778;11154;779
130000;926;15562;925
140000;1106;16020;1082
150000;1255;18761;1278
160000;1444;20211;1450
170000;1640;21542;1642
180000;1844;23761;1895
190000;2059;27509;2066
200000;2309;31481;2501
210000;2539;34544;2636
220000;2818;41341;2805
230000;3103;43899;3085
240000;3365;46600;3354
250000;3755;53992;3709
260000;4016;60997;4022
270000;4333;72433;4366
280000;4663;75295;4663
290000;5020;83760;5030
300000;5413;86862;5376
310000;5742;87376;5811
320000;6153;122491;6294
330000;6633;162429;6591
340000;7029;213070;6997
350000;7589;219456;7379
360000;7876;242224;7963
370000;8416;329029;8325
380000;8744;213988;8773
390000;9251;317734;9264
400000;9792;367323;9774
410000;10341;395874;10104
420000;10646;413059;10653
430000;11188;412578;11242
440000;11910;396573;11801
450000;12349;480730;12397
460000;12997;562968;12929
470000;13529;692256;13514
480000;14136;739763;14197
490000;14840;526230;14606
500000;15177;602088;15280
510000;16301;792146;16186
520000;16803;827987;16606
530000;17202;915626;17553
540000;19180;1648126;18239
550000;18933;1547800;18805
560000;19503;841003;18939
570000;19681;858971;19684
580000;20585;836661;20485
590000;21270;618461;21334
600000;21988;1080396;21970
610000;22669;1001356;22709
620000;23472;764003;23476
630000;24268;1339041;24238
640000;25071;820539;25090
650000;26036;371775;25845
660000;26734;1231852;26658
670000;27500;1114221;27522
680000;28465;1164233;28303
690000;29248;1078398;29168
700000;30121;1300713;32568
710000;31044;1826283;31159
720000;31851;1491248;31787
730000;32699;1758491;32735
740000;33662;1332317;33680
750000;34617;1254311;34552
760000;35562;1236423;35473
770000;36534;1358612;36451
780000;37589;1485459;37374
790000;38442;1384224;38329
800000;39533;1601271;39389
810000;40479;1691862;40382
820000;41541;2033959;41545
830000;42442;1942802;42540
840000;43534;2034697;43436
850000;44598;1879384;44641
860000;45762;2030378;45915
870000;46776;2427343;46761
880000;48266;2494006;47888
890000;49023;2621317;48964
900000;56549;2332497;50211
910000;51311;2804902;51588
920000;52579;2808454;52565
930000;53582;3206990;55110
940000;55992;3502946;55635
950000;56234;2852345;58145
960000;60737;2981645;57179
970000;58445;3918108;58362
980000;59818;3390239;61965
990000;63193;3583974;61036
1000000;64517;3676356;63192
