items;java.util.ArrayList;java.util.LinkedList;java.util.Vector
0;0;0;0
10000;5;39;5
20000;19;247;20
30000;44;750;44
40000;79;1547;79
50000;124;2609;125
60000;180;3952;180
70000;271;5610;287
80000;341;7579;319
90000;410;9891;410
100000;513;12656;516
110000;634;13439;642
120000;770;21386;773
130000;909;24104;912
140000;1061;29485;1066
150000;1243;42088;1256
160000;1412;41477;1423
170000;1615;50382;1635
180000;1812;57837;1830
190000;2041;70077;2061
200000;2279;80126;2270
210000;2529;95445;2533
220000;2781;109863;2802
230000;3059;117733;3038
240000;3350;147322;3338
250000;3667;76561;3662
260000;4010;196912;3944
270000;4292;230865;4266
280000;4593;99434;4657
290000;4960;285913;4950
300000;5344;332211;5336
310000;5685;124456;5709
320000;6059;399998;6106
330000;6436;436573;6460
340000;6898;503480;6911
350000;7292;370783;7285
360000;7781;202025;7753
370000;8175;227681;8233
380000;8637;247849;8669
390000;9134;270995;9116
400000;9652;284790;9578
410000;10114;306586;10094
420000;10622;359065;10622
430000;11089;456473;11180
440000;11652;643273;11645
450000;12209;892925;12253
460000;12766;1202475;12752
470000;13435;1254286;13363
480000;13923;769849;13902
490000;14554;694222;14487
500000;15102;1507738;15308
510000;15847;643146;15796
520000;16458;1673369;16617
530000;17046;739543;17070
540000;18025;1729928;17871
550000;18493;1369443;18403
560000;19097;1133023;19067
570000;19895;849538;19792
580000;20599;1185119;20478
590000;21179;2042063;21507
600000;21888;1147430;21980
610000;22932;1130796;22836
620000;23512;2066962;23364
630000;24474;1218502;24270
640000;25021;1214749;25014
650000;25903;1984578;26265
660000;27537;1811412;27652
670000;28218;2215426;28239
680000;28845;2004192;28537
690000;29831;1818913;29823
700000;30371;1978579;30668
710000;31793;2215573;32046
720000;33918;2101309;32797
730000;34094;2125744;34899
740000;45391;2033940;34124
750000;35342;1843985;47095
760000;47538;2342524;37303
770000;37699;2411177;38041
780000;39011;2429119;38309
790000;38945;2701423;38895
800000;39879;2603682;40266
810000;41750;2400221;41348
820000;42638;2533891;42320
830000;42947;2164179;42722
840000;44167;2089709;43908
850000;45075;2115626;45458
860000;46060;2358193;46240
870000;47409;2292038;47153
880000;48876;2399974;48143
890000;49899;2450530;49332
900000;51142;2370868;51377
910000;52113;2318132;52091
920000;53082;2375967;53389
930000;54150;2337586;54149
940000;55737;2277225;55907
950000;57231;2332171;57118
960000;58396;2418496;58424
970000;59680;2475372;59625
980000;60948;2534813;61062
990000;62139;2656541;62049
1000000;63330;2720637;63389
