items;java.util.ArrayList;java.util.LinkedList;java.util.Vector
0;0;0;0
10000;0;0;1
20000;0;0;0
30000;1;0;0
40000;1;0;0
50000;1;0;1
60000;0;1;1
70000;0;1;1
80000;1;0;1
90000;1;1;1
100000;1;1;1
110000;2;1;1
120000;1;1;2
130000;1;1;2
140000;1;1;2
150000;1;2;2
160000;1;2;1
170000;2;2;2
180000;2;1;2
190000;1;2;2
200000;1;2;3
210000;2;2;2
220000;2;3;2
230000;2;3;2
240000;3;2;3
250000;2;3;3
260000;2;3;3
270000;3;2;4
280000;2;3;3
290000;3;2;4
300000;3;2;4
310000;3;3;3
320000;3;3;3
330000;4;3;4
340000;4;3;4
350000;3;4;4
360000;4;3;5
370000;4;3;5
380000;4;4;5
390000;4;4;4
400000;4;4;5
410000;4;4;5
420000;5;4;5
430000;5;4;5
440000;5;4;5
450000;5;4;21
460000;5;4;7
470000;5;5;6
480000;5;4;6
490000;5;5;6
500000;5;5;6
510000;5;5;6
520000;5;5;7
530000;5;5;6
540000;6;5;6
550000;6;6;6
560000;6;5;7
570000;6;6;7
580000;6;6;6
590000;7;5;7
600000;7;6;7
610000;6;6;7
620000;7;6;7
630000;7;6;7
640000;6;6;8
650000;7;6;8
660000;7;6;9
670000;7;6;9
680000;7;7;9
690000;7;7;9
700000;7;7;9
710000;8;6;10
720000;7;7;10
730000;7;7;12
740000;7;8;9
750000;8;7;10
760000;8;7;10
770000;8;7;10
780000;8;7;13
790000;8;7;10
800000;8;8;11
810000;8;8;10
820000;9;8;11
830000;9;8;10
840000;10;8;10
850000;11;8;11
860000;12;8;11
870000;10;8;11
880000;10;8;11
890000;10;9;11
900000;10;8;12
910000;10;8;11
920000;10;8;12
930000;10;9;11
940000;11;8;12
950000;11;9;12
960000;10;9;12
970000;11;10;11
980000;10;10;12
990000;11;9;14
1000000;11;9;13
