items;java.util.ArrayList;java.util.LinkedList;java.util.Vector
0;0;0;0
10000;2;0;1
20000;1;1;1
30000;1;0;1
40000;1;0;2
50000;0;1;2
60000;0;1;2
70000;1;1;2
80000;1;2;2
90000;1;1;3
100000;1;1;3
110000;2;1;3
120000;2;2;3
130000;1;3;3
140000;2;2;4
150000;2;2;4
160000;2;5;4
170000;2;1;5
180000;2;2;4
190000;2;1;5
200000;2;2;5
210000;2;2;5
220000;2;2;6
230000;4;3;5
240000;2;2;6
250000;3;3;6
260000;3;3;6
270000;3;3;6
280000;3;4;7
290000;3;4;8
300000;3;5;9
310000;4;5;8
320000;4;5;8
330000;4;3;9
340000;3;3;9
350000;4;3;9
360000;4;3;9
370000;4;4;9
380000;5;3;10
390000;4;4;30
400000;4;4;12
410000;4;4;11
420000;4;4;11
430000;5;4;11
440000;4;6;12
450000;4;5;12
460000;6;7;13
470000;6;7;12
480000;6;7;12
490000;6;7;13
500000;6;8;13
510000;6;52;14
520000;6;4;13
530000;6;5;14
540000;5;6;13
550000;6;6;13
560000;7;5;14
570000;7;13;16
580000;8;5;15
590000;8;6;14
600000;7;5;15
610000;6;54;15
620000;7;6;16
630000;7;6;16
640000;9;10;17
650000;8;6;15
660000;7;7;17
670000;7;7;17
680000;8;7;18
690000;7;7;17
700000;7;11;19
710000;9;11;22
720000;9;11;20
730000;9;10;21
740000;9;11;20
750000;10;11;21
760000;9;40;19
770000;8;7;20
780000;8;8;20
790000;8;7;20
800000;8;8;21
810000;8;8;20
820000;10;8;21
830000;10;8;20
840000;9;8;21
850000;9;8;22
860000;10;8;22
870000;10;8;22
880000;10;9;59
890000;10;8;27
900000;10;9;22
910000;10;8;23
920000;11;9;23
930000;10;9;23
940000;10;9;24
950000;10;12;23
960000;10;9;23
970000;10;9;24
980000;10;10;23
990000;11;10;25
1000000;11;10;25
