items;java.util.ArrayList;java.util.LinkedList;java.util.Vector
0;0;0;0
10000;6;53;70
20000;20;168;20
30000;45;476;45
40000;82;737;80
50000;129;1176;125
60000;185;2437;184
70000;262;3679;251
80000;329;5996;327
90000;421;6706;422
100000;554;8027;533
110000;649;9904;650
120000;780;12806;785
130000;949;15212;919
140000;1079;15738;1077
150000;1279;18169;1314
160000;1436;20762;1441
170000;1642;21838;1636
180000;1869;25273;1865
190000;2117;31013;2165
200000;2340;29688;2334
210000;2561;31593;2552
220000;2857;36667;2834
230000;3096;45329;3091
240000;3381;46072;3412
250000;3690;48995;3690
260000;4000;169828;3986
270000;4311;70056;4412
280000;4647;76018;4714
290000;5010;84281;5050
300000;5390;89620;5379
310000;5771;100129;5777
320000;6205;127093;6268
330000;6609;126865;6583
340000;6996;143856;7008
350000;7423;158882;7350
360000;7803;168525;7792
370000;8364;190657;8321
380000;8843;164350;8719
390000;9184;517090;9279
400000;9766;256848;9691
410000;10149;246005;10138
420000;10762;281749;10658
430000;11215;202705;11262
440000;11801;264896;11720
450000;12292;538274;12266
460000;12816;519589;12804
470000;13420;471329;13422
480000;13983;439950;13977
490000;14594;517229;14585
500000;15196;772114;15161
510000;15863;678255;15968
520000;17686;476055;16452
530000;17042;821790;17085
540000;17733;795492;17909
550000;18617;446080;18578
560000;19310;1154959;19692
570000;20790;723971;19978
580000;20643;998339;20986
590000;21598;1100476;21468
600000;22330;852749;22594
610000;23799;1200814;23157
620000;24005;1457380;23517
630000;24240;1035091;24918
640000;25373;1247504;25445
650000;26524;1787320;25617
660000;26498;886032;26428
670000;27423;484080;27381
680000;28200;1051575;28258
690000;28867;1086097;32709
700000;29662;1217013;29879
710000;30603;1213047;30546
720000;31475;995828;31488
730000;32398;605834;32411
740000;33341;1464731;33087
750000;34203;1062850;34085
760000;35180;1242110;34983
770000;36075;1195305;35912
780000;37017;1565951;36958
790000;38002;1289155;37899
800000;39031;1698990;39218
810000;39976;1563177;39846
820000;41002;1836803;40855
830000;42055;1538763;42270
840000;42974;1945589;48711
850000;44055;1850151;44046
860000;45134;1888326;45245
870000;45896;2155908;46168
880000;47300;1980100;47297
890000;48315;2278286;48743
900000;49481;2378267;49422
910000;50555;1427076;50583
920000;51766;2574529;51872
930000;52972;2641114;52816
940000;54132;2335861;53969
950000;55211;2804236;54746
960000;56379;2868806;56424
970000;57692;2389357;57550
980000;58952;2904608;61906
990000;62313;2883798;61838
1000000;63263;4318085;64183
