items;java.util.ArrayList;java.util.LinkedList;java.util.Vector
0;0;0;0
10000;5;40;4
20000;19;253;20
30000;50;769;45
40000;79;1553;80
50000;132;2665;125
60000;179;3759;183
70000;259;6211;245
80000;322;6195;342
90000;427;10887;421
100000;524;14785;519
110000;638;18495;645
120000;769;22353;784
130000;908;26254;917
140000;1070;25758;1071
150000;1238;28189;1257
160000;1420;36025;1432
170000;1620;64838;1638
180000;1822;28867;1844
190000;2057;91849;2069
200000;2288;57215;2305
210000;2537;56532;2526
220000;2818;146569;2801
230000;3112;128321;3078
240000;3346;89421;3358
250000;3651;111944;3677
260000;3950;208516;3995
270000;4298;133832;4297
280000;4623;106255;4708
290000;4969;165029;5021
300000;5373;303276;5311
310000;5741;169117;5739
320000;6087;233319;6107
330000;6527;262565;6592
340000;6903;230857;6930
350000;7417;249795;7361
360000;7755;229429;7797
370000;8191;231985;8251
380000;8661;241365;8737
390000;9229;259838;9286
400000;9647;276264;9919
410000;10273;334714;10260
420000;10861;256962;10753
430000;11341;322496;11296
440000;11902;375678;11831
450000;12236;330581;12193
460000;12835;339861;14627
470000;14103;320564;13601
480000;14110;369169;14126
490000;14871;391047;14740
500000;15489;425464;15593
510000;16306;573751;15799
520000;16386;555397;16976
530000;17395;627967;17404
540000;17862;603932;17843
550000;18491;681986;18549
560000;19246;798742;19211
570000;19902;773177;19982
580000;20666;993834;20632
590000;21341;1088170;21991
600000;22492;1648556;24017
610000;24999;1295563;22894
620000;23539;1243427;23958
630000;25080;985506;28345
640000;35626;1112753;25890
650000;26462;1136777;25766
660000;26523;1507072;27057
670000;27992;946203;28037
680000;30953;1721459;28679
690000;29824;3002774;29005
700000;30120;1274723;29951
710000;30809;1465021;30675
720000;31697;1017056;31643
730000;32506;892191;32490
740000;33405;1286069;33327
750000;34290;1183383;34255
760000;35284;1225041;35545
770000;36677;1258904;36117
780000;39162;1594020;37119
790000;38139;1276420;38100
800000;39052;1514450;39065
810000;40100;1436810;40069
820000;41227;1244617;41148
830000;42132;1973506;42155
840000;43281;1807330;45845
850000;44114;2000264;44115
860000;45223;1994335;45571
870000;46599;2171612;46294
880000;47396;2102491;47453
890000;48438;1995824;48711
900000;49808;2129274;49999
910000;50778;2500990;50670
920000;51834;2584326;51848
930000;53435;2676452;53044
940000;54284;1292483;54442
950000;55479;4327387;55369
960000;56557;2886521;56457
970000;57773;2433489;63485
980000;58972;2729980;59703
990000;60107;2826644;60013
1000000;61400;3253211;62945
