items;java.util.ArrayList;java.util.LinkedList;java.util.Vector
0;0;0;0
10000;0;1;0
20000;0;0;0
30000;1;0;0
40000;1;0;0
50000;1;0;1
60000;1;0;1
70000;1;0;1
80000;1;1;0
90000;0;1;1
100000;1;1;1
110000;1;2;1
120000;1;1;2
130000;1;1;1
140000;1;2;2
150000;2;2;2
160000;2;2;1
170000;1;2;2
180000;2;2;2
190000;2;2;2
200000;2;3;3
210000;2;3;3
220000;3;3;3
230000;3;3;3
240000;3;4;3
250000;4;3;4
260000;3;4;3
270000;4;4;3
280000;4;4;4
290000;4;4;4
300000;3;5;4
310000;4;4;4
320000;4;5;4
330000;4;6;6
340000;4;6;6
350000;5;7;5
360000;3;4;4
370000;4;4;4
380000;4;4;6
390000;4;4;4
400000;4;4;5
410000;4;4;5
420000;5;4;5
430000;4;4;5
440000;5;4;5
450000;5;4;6
460000;4;5;5
470000;5;4;6
480000;5;4;6
490000;5;5;6
500000;6;5;6
510000;6;5;6
520000;5;5;7
530000;5;5;7
540000;6;5;7
550000;7;5;7
560000;7;5;7
570000;6;6;7
580000;6;6;7
590000;7;6;7
600000;7;6;7
610000;8;6;8
620000;7;6;8
630000;7;6;7
640000;7;6;8
650000;7;6;7
660000;7;7;8
670000;7;7;8
680000;7;7;8
690000;7;7;9
700000;8;7;9
710000;7;7;9
720000;7;7;9
730000;8;7;9
740000;8;8;9
750000;7;8;9
760000;8;7;10
770000;8;10;10
780000;8;8;10
790000;8;7;10
800000;8;8;10
810000;11;8;10
820000;9;9;9
830000;10;8;10
840000;12;9;10
850000;10;8;11
860000;9;9;11
870000;9;9;10
880000;9;9;12
890000;10;9;12
900000;11;8;12
910000;11;9;12
920000;12;9;11
930000;11;9;12
940000;13;11;12
950000;11;9;12
960000;10;10;11
970000;11;9;12
980000;11;9;11
990000;11;9;12
1000000;11;9;12
